word	frequency
sage	13
balanced-budget	13
mckinley	13
rip	13
proliferation	13
wrestle	13
romanian	13
bullion	13
georges	13
excerpt	13
rigorous	13
cdc	13
canadians	13
gossip	13
crane	13
conduit	13
stymie	13
mardi	13
l.f.	13
bedroom	13
reckless	13
honeybee	13
tally	13
isuzu	13
restrictive	13
ocelot	13
influx	13
colombian	13
laurentiis	13
midnight	13
high-quality	13
trademark	13
sober	13
collaboration	13
nonrecurring	13
atwood	13
premiere	13
angola	13
decent	13
nonexistent	13
churn	13
timber	13
carey	13
liberalize	13
infringe	13
blank	13
patron	13
treasure	13
cuisine	13
lybrand	13
racketeer	13
tolerate	13
stereo	13
moto	13
mondale	13
consummate	13
zeal	13
itoh	13
magnet	13
steelworker	13
toothpaste	13
dig	13
deposition	13
brass	13
angel	13
aftermath	13
apollo	13
biff	13
saul	13
hockey	13
appraisal	12
preach	12
under-funded	12
bearer	12
lanka	12
sweater	12
non-accrual	12
round-trip	12
refiner	12
patience	12
encouragement	12
mouse	12
conciliatory	12
wireless	12
rabin	12
laidlaw	12
cabbage	12
kinnear	12
shatter	12
double-b	12
fourth-largest	12
linerboard	12
fruehauf	12
abernathy	12
grandfather	12
alcatel	12
systematical	12
scholarship	12
natwest	12
grass	12
streak	12
salant	12
strenuous	12
bailout	12
olivetti	12
feat	12
doll	12
barge	12
sake	12
gore	12
commentary	12
fume	12
transfusion	12
pistol	12
wimp	12
dissatisfaction	12
jumbo	12
spectacular	12
hasty	12
burdensome	12
breakdown	12
trammell	12
collaborate	12
topping	12
closet	12
skip	12
hewitt	12
appellate	12
knoll	12
alternate	12
disposable	12
scotia	12
lyric	12
insolvency	12
purity	12
arouse	12
bumper	12
heaven	12
silly	12
schumer	12
myers	12
ariz.-based	12
smuggler	12
math	12
entry-level	12
straightforward	12
warrior	12
mode	12
serial	12
residue	12
slack	12
paycheck	12
non-japanese	12
heed	12
less-developed	12
adjacent	12
stunt	12
tile	12
choke	12
slave	12
sailing	12
dredge	12
disparity	12
cruzado	12
seven-day	12
innocence	12
cost-of-funds	12
goodman	12
replenish	12
belfast	12
diego-based	12
cliff	12
connolly	12
heir	12
khomeini	12
handler	12
bypass	12
flamboyant	12
krupp	12
rhode	12
instability	12
antibiotic	12
fractional	12
adobe	12
reno	12
sunshine	12
mckay	12
banco	12
rover	12
illuminate	12
misconduct	12
ferro	12
neutralize	12
muller	12
nail	12
mueller	12
savin	12
watson	12
nofziger	12
bert	12
box-office	12
mock	12
downside	12
curran	12
helmut	12
duarte	12
zico	12
hemdale	12
tuna	12
herman	12
amplification	12
pumice	12
low-level	12
repression	12
trudeau	12
ambiguous	12
applicable	12
ineffective	12
logicon	12
cascade	12
curve	12
memorable	12
hyde	12
procter	12
insurgency	12
vigor	12
pastor	12
translation	12
islam	12
impasse	12
morocco	12
discreet	12
tractebel	12
venture-capital	12
platoon	12
national-security	12
tacit	12
uneven	12
bmw	12
shoreham	12
protract	12
penril	12
wrench	12
cab	12
precipitous	12
enlist	12
manuel	12
vista	12
smell	12
laborer	12
fountain	12
unissued	12
chic	12
vcr	12
bakker	12
salvage	12
blueprint	12
hybrid	12
hospice	12
cruiser	12
crook	12
independent-counsel	12
strive	12
realignment	12
doom	12
betty	12
mechanic	12
pcs	12
scan	12
cartoneros	12
life-of-contract	12
a.g.	12
inflict	12
trainer	12
marasek	12
atalanta/sosnoff	12
ripe	12
itemize	12
cairo	12
sticht	12
ralston	12
billy	12
everett	12
disciplinary	12
kelley	12
assassination	12
uphill	12
romeo	12
x	12
refurbish	12
emit	12
whichever	12
tandon	12
marathon	12
airliner	12
sable	12
ethicists	12
vitality	12
edmund	12
mcgraw-hill	12
large-scale	12
cultivate	12
plo	12
admiral	12
discard	12
morse	12
epic	12
tackle	12
stranger	12
lavish	12
yank	12
geopolitical	12
avco	12
mammoth	12
pragmatic	12
petersen	12
sherwood	12
sweeney	12
li	12
binge	12
bellevue	12
knife	12
stature	12
dentist	12
equimark	12
orloff	12
imagery	12
whoever	12
vancouver	12
tabak	12
betel	12
drum	12
hammermill	12
market-makers	12
fragrance	12
adams-russell	12
sew	12
recipe	12
amass	12
trainee	12
big-ticket	12
hawke	12
peltz	12
y	12
cambodia	12
hubbard	12
gulag	12
pepsi	12
lowell	12
rope	12
screening	12
wedge	12
human-rights	12
erect	12
disqualify	12
nationalism	12
gateway	12
absurd	12
ibm-compatible	12
resurgence	12
realm	12
tiffany	12
lube	12
public-sector	12
cambrian	12
storer	12
platt	12
merrell	12
aunt	12
taco	12
photographic	12
fundamentalist	12
disposition	12
magma	12
tomato	12
aga	12
mexicans	12
kearns	12
legend	12
meager	12
fannie	12
surgical	12
metz	12
rivalry	12
geographic	12
mercedes	12
lira	12
forging	12
kissinger	12
plausible	12
borough	12
adversary	12
disruption	12
ryder	12
flop	12
pink	12
pervasive	12
pie	12
overheat	12
grandmother	12
newborn	12
itc	12
imagination	12
constructive	12
recycle	12
stringer	12
candy	12
feisty	12
partisan	12
distaste	12
graduation	12
soda	12
transformation	12
ritual	12
nova	12
bloomington	12
patterson	12
neff	12
foil	12
subcompact	12
abound	12
booth	12
debacle	12
burnett	12
pantera	12
newcomer	12
rehnquist	12
spear	12
teen-age	12
dave	12
emission	12
cabinet-level	12
residual	12
fuss	12
hawkeye	12
clandestine	12
outstrip	12
beatty	12
terra	12
cleanup	12
cereal	12
charlie	12
katz	12
condominium	12
shaw	12
lifestyle	12
hitchcock	12
domino	12
remodel	12
new-issue	12
constituent	12
whittle	12
outflow	12
ram	12
deceptive	12
popoff	11
j&j	11
cart	11
deportation	11
boren	11
sunlight	11
omaha	11
mahal	11
cooler	11
esop	11
tumor	11
conjunction	11
bhc	11
f.w.	11
defunct	11
ldbrinkman	11
embargo	11
arbitrary	11
tamper	11
viewpoint	11
sharper	11
executive-branch	11
shipbuilder	11
hands-on	11
purcell	11
grande	11
merritt	11
wherever	11
sinatra	11
soto	11
basf	11
torrance	11
natca	11
dutch/shell	11
eminent	11
groundwork	11
classical	11
newman	11
reflectone	11
preview	11
inefficiency	11
jake	11
plush	11
overlap	11
erratic	11
s.g.	11
leslie	11
nitrogen	11
reset	11
yearly	11
lid	11
iran-iraq	11
dilution	11
seemala	11
facsimile	11
launcher	11
barber	11
bourgeois	11
whitfield	11
imitate	11
whitehead	11
bait	11
africanized	11
destabilize	11
handbook	11
responsive	11
lasersonics	11
sheriff	11
vault	11
dent	11
pitcher	11
magnitude	11
sham	11
twin	11
bloom	11
halfway	11
outbid	11
stifle	11
prominence	11
cathedral	11
buckeye	11
fiber-optic	11
epstein	11
vickers	11
mute	11
niece	11
yacht	11
tonic	11
capita	11
zzzz	11
dense	11
tele-communications	11
printout	11
brotherhood	11
quip	11
shade	11
oilman	11
forma	11
sore	11
midday	11
gum	11
domtar	11
rekindle	11
humble	11
pneumonia	11
abalone	11
preferable	11
playboy	11
marvel	11
grim	11
patriot	11
ironic	11
berra	11
renovation	11
standardize	11
discredit	11
oversubscribe	11
decorate	11
lebaron	11
victoria	11
public-works	11
lotus	11
mtech	11
enlighten	11
ransom	11
mansion	11
destroyer	11
one-vote	11
oil-producing	11
onerous	11
orleans-based	11
utilization	11
colorize	11
ideology	11
stellenbosch	11
winery	11
soccer	11
auditorium	11
unterberg	11
co-defendants	11
mba	11
glance	11
multibillion-dollar	11
foley	11
aura	11
reliever	11
salvadoran	11
lace	11
skyscraper	11
nostalgia	11
bray	11
policy-making	11
tribute	11
basin	11
milton	11
chinn	11
mentor	11
diesel	11
proposition	11
sting	11
lopez	11
frequency	11
copier	11
substandard	11
coleco	11
orderly	11
heal	11
narragansett	11
talc	11
differentiate	11
glory	11
baton	11
lebanese	11
atom	11
hyman	11
chronology	11
danish	11
del.	11
barbecue	11
apparatus	11
hemingway	11
three-fourths	11
piston	11
inclusion	11
eloquent	11
receiver	11
fence	11
spike	11
chiapas	11
pitney	11
stereotype	11
noon	11
one-share	11
stave	11
span	11
outpace	11
hard-pressed	11
wide-body	11
predator	11
hi-shear	11
wrest	11
impetus	11
impatient	11
investor-owned	11
friendship	11
hrs	11
fist	11
reformer	11
luggage	11
horrible	11
se	11
villain	11
offender	11
playoff	11
galveston	11
rotate	11
burgess	11
albeit	11
lied	11
poultry	11
antiquate	11
silo	11
freshman	11
barnala	11
metex	11
catastrophe	11
markey	11
pac	11
three-judge	11
millionaire	11
post-split	11
makeup	11
refresh	11
efficacy	11
child-care	11
decoder	11
stub	11
minicomputer	11
rothmans	11
blond	11
monroe	11
breath	11
gw	11
corcoran	11
mull	11
governor-general	11
hood	11
angell	11
cole	11
cue	11
venable	11
heine	11
barcelona	11
koop	11
restaurateur	11
suitcase	11
resurrect	11
grapple	11
rotberg	11
moon	11
superb	11
encor	11
cincinnati-based	11
bayerische	11
inaccurate	11
heavyweight	11
jwt	11
fallout	11
daunt	11
static	11
standpoint	11
weed	11
cake	11
oil-price	11
herd	11
hastings	11
towbin	11
libor	11
magnetics	11
telefonica	11
dampen	11
saga	11
ceausescu	11
barefoot	11
amateur	11
taj	11
gottis	11
kiss	11
paris-based	11
therapeutic	11
spurn	11
accidental	11
daimler-benz	11
feeding	11
taker	11
denison	11
fdr	11
deflect	11
scarcity	11
youngster	11
equatorial	11
hungarian	11
last-minute	11
dash	11
imasco	11
troublesome	11
bucket	11
wale	11
blackburn	11
evangelical	11
duquesne	11
barter	11
despair	11
arbor	11
claire	11
bhopal	11
reexamine	11
clarence	11
accommodation	11
trinidad	11
wander	11
fixture	11
showroom	11
dallas-fort	11
freebie	11
high-volume	11
wive	11
barbera	11
foreseeable	11
invention	11
hu	11
afoul	11
sloan	11
infiltrate	11
herbicide	11
bankruptcy-court	11
lump	11
felon	11
hartley	11
spice	11
gsa	11
clell	11
moray	11
leeds	11
keyboard	11
p&l	11
billion-dollar	11
domain	11
marx	11
g&w	11
interrogation	11
da	11
brae	11
buddy	11
frantzen	11
schatz	11
segregate	11
parachute	11
baetjer	11
stagnant	11
verbal	11
shortcoming	11
whittaker	11
hopkyns	11
abate	11
biehl	11
u.s.-israeli	11
englewood	11
ratajczak	11
mourn	11
monkey	11
upshot	11
rewrite	11
superintendent	11
cummins	11
universe	11
motivation	11
rig	11
zim	11
hooker	11
hectic	11
reshape	11
outweigh	11
follow-up	11
bicker	11
johnny	11
gibraltar	11
munition	11
scurry	11
stroll	11
unfriendly	11
u.s	11
royex	11
public-service	11
coloring	11
passport	11
overcrowd	11
tribunal	11
milestone	11
alachlor	10
concord	10
desktop	10
laredo	10
directory	10
motorist	10
hookup	10
lion	10
metro	10
countryside	10
misguide	10
reimbursement	10
reassess	10
outdated	10
sunset	10
d.h.	10
irrational	10
patco	10
bluff	10
recapture	10
conrads	10
money-supply	10
bradfield	10
lieu	10
persuasive	10
tri-star	10
bacon	10
moseley	10
spontaneous	10
cpc	10
quantify	10
lasky	10
reagans	10
freeport-mcmoran	10
magnate	10
separatist	10
photographer	10
batterymarch	10
low-interest	10
half-dozen	10
retrieve	10
continuity	10
abrasive	10
languish	10
fray	10
andres	10
savvy	10
thinker	10
virgin	10
morristown	10
raven	10
beaver	10
appease	10
hart-scott-rodino	10
rizzo	10
pasteur	10
activate	10
adherence	10
rusalka	10
flour	10
splinter	10
worthy	10
sanyo	10
entail	10
ego	10
trimming	10
ghost	10
cousin	10
legality	10
countervail	10
kirby	10
awkward	10
chris	10
abe	10
knowledgeable	10
beker	10
keating	10
underline	10
dillon	10
robbery	10
glamor	10
sai	10
crassweller	10
rite	10
cute	10
rim	10
first-year	10
griffin	10
conservatism	10
whale	10
ominous	10
demise	10
deductibility	10
conquer	10
trusteeship	10
sampling	10
negligible	10
lotion	10
inexperience	10
sponsorship	10
pants	10
glass-steagall	10
contamination	10
schroder	10
fairfield	10
kay	10
bottler	10
banana	10
two-year-old	10
t-shirt	10
frost	10
duration	10
supplemental	10
provident	10
ladenburg	10
portsmouth	10
carner	10
attendance	10
forestall	10
gardener	10
preoccupation	10
laxalt	10
prerogative	10
narc	10
quito	10
discontent	10
con	10
cafeteria	10
manitoba	10
ricoh	10
two-tier	10
moisture	10
frashier	10
encompass	10
salad	10
divulge	10
b.f.	10
ericsson	10
midsize	10
gilbert	10
jeff	10
usage	10
auto-parts	10
rider	10
complement	10
kidnap	10
temp	10
cafe	10
deloitte	10
exploitation	10
ill-fated	10
onion	10
arthritis	10
allay	10
sailor	10
battlefield	10
farkas	10
scottsdale	10
succumb	10
oslo	10
marineland	10
noncompetitive	10
paperback	10
bike	10
gaubert	10
mccormack	10
relocation	10
bench	10
microbe	10
rationale	10
notch	10
scoff	10
disenchant	10
frequent-flier	10
everest	10
quell	10
downstream	10
allis	10
dangle	10
pamphlet	10
incompetent	10
possess	10
charleston	10
kelvin	10
biotech	10
hesitant	10
berlin	10
parental	10
puff	10
scottish	10
jan	10
shame	10
stipulate	10
page-one	10
datapoint	10
araskog	10
populate	10
ortega	10
skirt	10
rattle	10
chevy	10
eclipse	10
unwind	10
noticeable	10
precipitate	10
pregnancy	10
long-running	10
dirt	10
uno	10
yeah	10
trustco	10
preposterous	10
orphan	10
birnbaum	10
jewel	10
hinder	10
investment-banking	10
schwab	10
donna	10
gobble	10
scar	10
britons	10
heroic	10
recapitalize	10
blade	10
elevate	10
gleason	10
rosenberg	10
forgery	10
better-than-expected	10
flowton	10
matchbox	10
front-runner	10
overestimate	10
p-e	10
tribune	10
euroyen	10
sandra	10
one-fifth	10
sunter	10
longshoreman	10
petite	10
derivative	10
reside	10
horrify	10
aircoa	10
peterson	10
bonanza	10
menlo	10
populist	10
shopwell	10
aig	10
cardiovascular	10
orphan-drug	10
vocational	10
city-based	10
stack	10
interruption	10
stirring	10
mccardell	10
conte	10
incoming	10
varity	10
bucharest	10
j.m.	10
tribeca	10
forfeit	10
apprehension	10
ballard	10
long-awaited	10
swelling	10
substitution	10
kathleen	10
embezzlement	10
atkinson	10
illustration	10
small-town	10
peril	10
cynwyd	10
nicaraguans	10
afdc	10
rushdie	10
carving	10
exonerate	10
tail	10
deluge	10
sidestep	10
barker	10
similarity	10
menu	10
politicize	10
humane	10
bona	10
domination	10
balls	10
egyptians	10
variable-rate	10
prestige	10
gould	10
americas	10
sparse	10
ore.-based	10
rotation	10
triton	10
rambo	10
advent	10
realtor	10
numerical	10
podium	10
overt	10
disdain	10
bowes	10
retrain	10
northeastern	10
lichtenstein	10
lieutenant	10
alberta-based	10
cable-tv	10
canal	10
towel	10
va.-based	10
holy	10
chronar	10
kamphol	10
wpp	10
unfold	10
rogaine	10
dejong	10
delve	10
bride	10
kellogg	10
stock-price	10
marlboro	10
narcotic	10
condo	10
equity-linked	10
ratification	10
antimissile	10
snarl	10
boca	10
gottlieb	10
swaggart	10
dogged	10
naturalization	10
petrochemical	10
litton	10
electro-biology	10
unregulated	10
khj	10
deference	10
hiding	10
angle	10
sneak	10
peking	10
neal	10
ruthless	10
censorship	10
simpson	10
besiege	10
miskito	10
marital	10
cardholder	10
midway	10
bylaw	10
icee	10
foremost	10
guadalajara	10
liaison	10
revert	10
straw	10
uniroyal	10
syndicators	10
stout	10
miss.	10
fraser	10
inducement	10
affordable	10
vatican	10
tec	10
pleading	10
tomb	10
backstage	10
fide	10
tribe	10
lively	10
tangle	10
profess	10
waterhouse	10
rubin	10
two-day	10
concur	10
clinton	10
nightclub	10
dire	10
industrial-share	10
transrapid	10
disperse	10
miscellaneous	10
eletr	10
descend	10
audi	10
lament	10
anonymity	10
omission	10
bala	10
non-callable	10
thumb	10
unpaid	10
dreyer	10
bland	10
vanous	10
ashton-tate	10
ferdinand	10
nonvoting	10
prowl	10
phillip	10
sgs	10
hobby	10
dixie	10
wring	10
craxi	10
supportive	10
patrolman	10
five-member	10
galaxy	10
sigh	10
placebo	10
jolla	10
indemnify	10
pale	10
biological	10
miyazawa	10
shudder	10
orbit	10
birmingham	10
ho	10
afrikaner	10
underwoods	10
prevention	10
black-and-white	10
verde	10
impeachment	10
single-day	10
benign	10
honesty	10
dissipate	10
namely	10
leff	10
yankees	10
input	10
chen	10
berea	10
thieve	10
conspicuous	10
three-quarter	10
unrestricted	10
delaney	10
faulkner	10
edi	10
cantor	10
heath	10
barnes	10
recreational	10
lubensky	10
nonmilitary	10
irritation	10
cox	10
refocus	10
porter	10
westerner	10
best-selling	10
mitterrand	10
covet	10
full-service	10
symbion	10
full-scale	10
best-known	10
optic	10
autonomy	10
sensitivity	10
stand-alone	10
disband	10
notwithstanding	10
jefferson	10
amcast	10
viewing	10
renaissance	10
franchik	9
l.a.	9
runaway	9
fran	9
davies	9
hypothetical	9
decision-making	9
dade	9
entrant	9
microsystems	9
wertheim	9
milacron	9
respite	9
chancery	9
imperative	9
mercer	9
preferential	9
marble	9
nonpublic	9
exhibitor	9
credit-tightening	9
fringe	9
truman	9
trenton	9
siding	9
leland	9
anti-drug	9
concurrent	9
rust	9
pencil	9
high-profile	9
sacred	9
chloride	9
align	9
self	9
tan	9
adjustable	9
confidant	9
curtain	9
lockout	9
conner	9
nursery	9
irresponsible	9
flier	9
low-key	9
gaines	9
incomplete	9
appointee	9
amenity	9
abundant	9
ration	9
delete	9
frey	9
arguable	9
driver-side	9
legitimacy	9
helen	9
market-on-close	9
daini	9
overpay	9
boyle	9
contra-aid	9
fervent	9
heart-attack	9
repackage	9
pyongyang	9
biomedical	9
vogtle	9
pcw	9
mcmahon	9
working-class	9
aires	9
anti-sandinista	9
downplay	9
highland	9
afloat	9
privy	9
mckinney	9
assort	9
seton	9
infringement	9
starer	9
dike	9
advantageous	9
crocker	9
comstock	9
divisive	9
comedian	9
rendering	9
iadb	9
reuss	9
stain	9
euphoria	9
expedition	9
disgruntle	9
bundle	9
revitalize	9
hillside	9
sag	9
disproportionate	9
watcher	9
anglo-dutch	9
frantic	9
salesperson	9
descendant	9
mismatch	9
building-materials	9
daddy	9
driller	9
hallmark	9
lethargic	9
d	9
lifeline	9
unreliable	9
usher	9
italians	9
bogus	9
breathe	9
kims	9
aeronautic	9
triad	9
correspond	9
thesis	9
escalation	9
erdman	9
aspiration	9
mundane	9
buenos	9
stray	9
roderick	9
conseco	9
winston	9
whisper	9
statewide	9
renovate	9
cdu	9
rodney	9
falsification	9
axa	9
escrow	9
wrangling	9
buff	9
putnam	9
tycoon	9
bsn	9
pnc	9
carlo	9
congregation	9
machinist	9
unstable	9
archbishop	9
dragon	9
fabulous	9
enzon	9
ldc	9
token	9
abraham	9
monologue	9
courteous	9
consumer-products	9
monterey	9
lousy	9
unsafe	9
questionnaire	9
schering	9
contibel	9
cape	9
sweetener	9
journey	9
impatience	9
assimilation	9
coffer	9
gundy	9
mathematical	9
groundwater	9
carmel	9
boase	9
lofty	9
poison-pill	9
kendrick	9
hamtramck	9
gartman	9
persecution	9
asamera	9
counterproductive	9
barracks	9
haig	9
zagury	9
decay	9
cartridge	9
modulaire	9
balance-of-payments	9
roland	9
dismay	9
nun	9
p/e	9
nuclear-power	9
delinquent	9
tax-rate	9
liedtke	9
inconsistency	9
bombay	9
light-truck	9
fahrenheit	9
altman	9
tenn.-based	9
revel	9
defuse	9
gambler	9
intravenous	9
creator	9
soak	9
dispel	9
poet	9
maserati	9
sigur	9
starter	9
snatch	9
fela	9
sloane	9
gec	9
casket	9
raton	9
muddle	9
transatlantic	9
eec	9
obstruct	9
hawaiian	9
jeopardy	9
resistant	9
dartmouth	9
honey	9
gospel	9
coordinator	9
pritzker	9
en	9
overwork	9
vein	9
jamaica	9
shiite	9
tolerance	9
bathtub	9
bangkok	9
conoco	9
informative	9
wyo.	9
expansionary	9
atico	9
robber	9
pregnant	9
nazis	9
gerhard	9
zumwalt	9
schmitz	9
wtd	9
excise-tax	9
palestinian	9
ple	9
braunschweig	9
noel	9
athens	9
attest	9
bloedel	9
cato	9
odeon	9
capel	9
high-end	9
glimpse	9
hunger	9
leal	9
maritime	9
mcfaddin	9
vogel	9
negotiable	9
undeveloped	9
danbury	9
lighten	9
denden	9
upbeat	9
discern	9
weary	9
healthvest	9
pete	9
stalin	9
andreotti	9
schuster	9
nuisance	9
hose	9
outset	9
malta	9
clarification	9
malaysian	9
larceny	9
ppg	9
tantalize	9
nrm	9
kemper	9
skirmish	9
environmentalist	9
compassion	9
bask	9
persistence	9
cyrus	9
hometown	9
gramm-rudman-hollings	9
viratek	9
serrano	9
gadfly	9
honeywell	9
occupancy	9
herzfeld	9
irregular	9
metalworking	9
nadja	9
leiner	9
pessimistic	9
seaman	9
mortality	9
psychotherapist	9
spoon	9
canvas	9
evacuate	9
trait	9
taint	9
clearwater	9
deed	9
snag	9
rhodes	9
merola	9
sonatrach	9
hive	9
bode	9
welter	9
carmen	9
solzhenitsyn	9
peculiar	9
burbank	9
jesuits	9
rowland	9
grate	9
protropin	9
slap	9
packwood	9
garth	9
mobilize	9
salvo	9
blitz	9
admirable	9
inouye	9
hansen	9
vinyl	9
duberstein	9
atop	9
abstain	9
depot	9
crowley	9
swarm	9
ruler	9
banc	9
struve	9
bookshelf	9
u.s.-japanese	9
worm	9
puma	9
mediocre	9
characterization	9
dyneer	9
tax-reform	9
cruel	9
propeller	9
glitter	9
manpower	9
canon	9
drachma	9
fictitious	9
lineup	9
high-priced	9
reclamation	9
emily	9
bailey	9
educator	9
sorg	9
wrangler	9
supplant	9
tobin	9
selzer	9
journalism	9
belzberg	9
ernie	9
karen	9
afflict	9
brodsky	9
decouple	9
goldfeder	9
trumpet	9
hardart	9
batch	9
mimic	9
bog	9
narrative	9
hierarchy	9
misdemeanor	9
flap	9
willard	9
bangemann	9
clearinghouse	9
titan	9
veba	9
sergeant	9
gang	9
built-in	9
lester	9
alma-ata	9
tel	9
fmr	9
doupe	9
pirandello	9
angelica	9
ajax	9
jimenez	9
rash	9
dwell	9
thunder	9
evade	9
curriculum	9
creationism	9
case-by-case	9
pullout	9
crony	9
turbine	9
unam	9
airgas	9
superiority	9
grind	9
sow	9
sweat	9
short-sellers	9
greenwood	9
schneider	9
ohkawara	9
ballet	9
lenient	9
y.	9
nurture	9
southeastern	9
fixing	9
third-party	9
gasp	9
kongsberg	9
gdp	9
applause	9
mt.	9
cobey	9
yerena	9
amalgamate	9
amis	9
ambush	9
sophomore	9
deterrent	9
compensatory	9
exovir	9
insilco	9
hosiery	9
unresolved	9
kagan	9
lecture	9
myriad	9
listener	9
footnote	9
emperor	9
kimche	9
irradiation	9
ky.	9
roil	9
solicitor	9
syrup	9
impediment	9
outer	9
dougherty	9
farm-equipment	9
painter	9
labarbera	9
monopolize	9
organizational	9
two-week	9
footage	9
pad	9
shuffle	9
glow	9
rug	9
genstar	9
inception	9
cozy	9
reckon	9
thalmann	9
rosy	9
bidwell	9
retrospective	9
high-performance	9
enroll	9
showcase	9
jittery	9
speed-limit	9
tug	9
jeweler	9
blur	9
undergraduate	9
emeritus	9
llc	9
naive	9
bizarre	9
sewer	9
mafia	9
poehl	9
jaguar	9
weave	9
pinch	9
blatant	9
gca	9
booster	9
ark.	9
indiscriminate	9
armor	9
mobility	9
fin	9
cartusciello	9
cramp	9
fork	9
tie-in	9
vend	9
four-month	9
harmony	9
rospatch	9
hands-off	9
hutchinson	9
plateau	9
groveman	9
turbulence	9
reclassify	9
argus	9
sithe	9
contentious	9
balladur	9
miserable	9
dad	9
turbulent	9
maurice	9
humphrey	9
beware	9
j.r.	9
malfunction	9
clear-cut	9
swissair	9
preacher	9
non-food	9
bind	9
arrears	9
danners	9
celeste	9
manchester	9
nuclear-free	9
colorization	9
feminist	9
flank	9
sanitation	9
depose	9
wallach	9
der	9
knoxville	9
iceland	9
wizard	9
eyerman	9
overbuild	9
intricate	9
three-way	9
cboe	9
buckhorn	9
comrade	9
citgo	9
restitution	9
inroad	9
quotron	9
buzz	9
libyan	9
impropriety	9
tunde	9
wallet	9
lyle	9
streptokinase	8
muddy	8
motel	8
rub	8
opel	8
fiberglass	8
hard-line	8
ious	8
self-described	8
scowcroft	8
belgrade	8
embezzle	8
lung-cancer	8
reinsurers	8
scudder	8
landis	8
hoare	8
medium-duty	8
doldrums	8
weinger	8
renown	8
detach	8
avid	8
emigrate	8
awash	8
outgrowth	8
cagnola	8
xtra	8
inequity	8
pearce-batten	8
payload	8
transistor	8
steelmaking	8
pasadena	8
buttress	8
sincere	8
adamant	8
pierson	8
satire	8
menswear	8
sprague	8
offing	8
u.s.-based	8
arrogant	8
correlation	8
unaffected	8
afghan	8
fiberglas	8
spray	8
much-needed	8
drinker	8
princess	8
electricite	8
argo	8
aircraft-engine	8
reconciliation	8
infrequent	8
abode	8
woodbridge	8
concessional	8
nars	8
uchida	8
massacre	8
roper	8
dissatisfy	8
chant	8
discretionary	8
awacs	8
azidothymidine	8
depreciate	8
perch	8
argentines	8
barron	8
unintentional	8
inman	8
posh	8
surfboard	8
alzheimer	8
jiffy	8
immoral	8
laxative	8
forest-products	8
work-rule	8
rhodesia	8
sidewalk	8
bless	8
jaime	8
jr	8
transcanada	8
pendleton	8
mercy	8
preston	8
formulation	8
sunnyvale	8
mastermind	8
provocative	8
unwitting	8
sanctuary	8
craig-hallum	8
stepfather	8
probing	8
paramilitary	8
veyne	8
indigent	8
rodgers	8
gelco	8
damascus	8
spa	8
persuasion	8
haskins	8
remedial	8
dropout	8
obsession	8
ave.	8
transylvania	8
destiny	8
grumman	8
eyton	8
workable	8
acura	8
cassani	8
militia	8
all-cash	8
budgetary	8
dna	8
floppy	8
pervade	8
beast	8
lap	8
polymer	8
mcivor	8
whiskey	8
schweppes	8
clamor	8
disinformation	8
resupply	8
c.t.c.	8
anti-government	8
terrific	8
stockholm	8
limelight	8
inventor	8
admiration	8
persecute	8
mckinsey	8
nematode	8
hindsight	8
involuntary	8
tucson	8
louisiana-pacific	8
wyse	8
butt	8
aids.	8
ex-dividend	8
waterfront	8
okla	8
merle	8
greeks	8
shanahan	8
workfare	8
tenacious	8
offspring	8
restoration	8
ucla	8
roommate	8
prague	8
myron	8
unconfirmed	8
trizec	8
semiannual	8
minn.-based	8
palladium	8
toronto-dominion	8
yogiisms	8
ripple	8
tamura	8
devalue	8
seville	8
misplace	8
ultraviolet	8
sticker	8
interval	8
unreported	8
apology	8
unused	8
anti-apartheid	8
perini	8
penchant	8
genesis	8
sticky	8
evangelist	8
furnishing	8
rinderer	8
miserables	8
coelho	8
jennings	8
braille	8
disseminate	8
stone-washing	8
valhi	8
emhart	8
ioc	8
blackmail	8
rollback	8
mascot	8
lily	8
brag	8
heavy-duty	8
del.-based	8
conditioner	8
sunglasses	8
fond	8
prohibitive	8
severity	8
uncommon	8
riverhead	8
peek	8
kiichi	8
roe	8
floirenda	8
near-record	8
affirmative	8
ballroom	8
stronger-than-expected	8
accordance	8
vintner	8
heap	8
summon	8
asean	8
heroin	8
bolivia	8
macbeth	8
syndicator	8
torpedo	8
adjoin	8
standby	8
wm	8
m	8
scalia	8
valladares	8
pensioner	8
shoreline	8
hustle	8
twilight	8
sway	8
complication	8
grieve	8
scuttle	8
eduardo	8
goat	8
a.w.	8
transcript	8
wreck	8
bate	8
bodanis	8
toast	8
reassign	8
mate	8
meticulous	8
breeze	8
kopp	8
adventurer	8
amtrak	8
late-night	8
developing-country	8
stair	8
rabbit	8
quist	8
gambit	8
mckinnon	8
workweek	8
edible	8
personal-computer	8
locality	8
bookstore	8
invisible	8
one-tenth	8
strife	8
alpine	8
accessible	8
anti-ballistic	8
fine-tune	8
misunderstanding	8
oversell	8
texture	8
insert	8
ludicrous	8
brewery	8
skipper	8
whirlpool	8
toronado	8
imprint	8
dai-ichi	8
unfit	8
dizzy	8
species	8
announcer	8
rabbi	8
homosexuality	8
enichem	8
logistical	8
peck	8
revolutionize	8
sack	8
little-known	8
query	8
three-member	8
willy	8
bacteria	8
byron	8
compulsory	8
locomotive	8
amsterdam	8
squad	8
allude	8
hoard	8
jorge	8
dupont	8
